
========== 로그 시작: Fri Dec  5 12:37:28 2025
시간                온도(°C)  습도(%)  히터   팬
2025-12-05 12:42:09     28.16     69.62     OFF   OFF
2025-12-05 12:42:10     27.91     70.07      ON    ON
2025-12-05 12:42:11     28.33     68.89     OFF   OFF
2025-12-05 12:42:12     28.08     69.40     OFF   OFF
2025-12-05 12:42:13     27.60     69.93      ON   OFF
2025-12-05 12:42:14     28.00     70.70      ON    ON
2025-12-05 12:42:15     28.40     69.73     OFF   OFF
2025-12-05 12:42:16     28.11     70.23     OFF    ON
2025-12-05 12:42:17     27.77     69.09      ON   OFF
2025-12-05 12:42:18     28.08     69.79     OFF   OFF
2025-12-05 12:42:19     27.91     70.38      ON    ON
2025-12-05 12:42:20     28.39     69.43     OFF   OFF
2025-12-05 12:42:21     28.01     69.99     OFF   OFF
2025-12-05 12:42:22     27.79     70.66      ON    ON
2025-12-05 12:42:23     28.05     69.63     OFF   OFF
2025-12-05 12:42:24     27.80     70.22      ON    ON
2025-12-05 12:42:25     28.04     69.29     OFF   OFF
2025-12-05 12:42:26     27.70     69.84      ON   OFF
2025-12-05 12:42:27     28.24     70.49     OFF    ON
2025-12-05 12:42:28     27.99     69.45      ON   OFF
2025-12-05 12:42:29     28.31     70.12     OFF    ON
2025-12-05 12:42:30     28.09     68.97     OFF   OFF
2025-12-05 12:42:31     27.80     69.53      ON   OFF
2025-12-05 12:42:32     28.14     70.28     OFF    ON
2025-12-05 12:42:33     27.81     69.20      ON   OFF
2025-12-05 12:42:34     28.28     69.67     OFF   OFF
2025-12-05 12:42:35     28.07     70.39     OFF    ON
2025-12-05 12:42:36     27.81     69.36      ON   OFF
2025-12-05 12:42:37     28.22     69.90     OFF   OFF
2025-12-05 12:42:38     27.91     70.42      ON    ON
2025-12-05 12:42:39     28.37     69.44     OFF   OFF
2025-12-05 12:42:40     27.98     69.98      ON   OFF
2025-12-05 12:42:41     28.45     70.60     OFF    ON
2025-12-05 12:42:42     27.98     69.71      ON   OFF
2025-12-05 12:42:43     28.37     70.32     OFF    ON
2025-12-05 12:42:44     28.01     69.28     OFF   OFF
2025-12-05 12:42:45     27.83     69.92      ON   OFF
2025-12-05 12:42:46     28.17     70.35     OFF    ON
2025-12-05 12:42:47     27.88     69.50      ON   OFF
2025-12-05 12:42:48     28.12     70.18     OFF    ON
2025-12-05 12:42:49     27.68     69.19      ON   OFF
2025-12-05 12:42:50     28.17     69.80     OFF   OFF
2025-12-05 12:42:51     27.88     70.53      ON    ON
2025-12-05 12:42:52     28.37     69.54     OFF   OFF
2025-12-05 12:42:53     28.06     70.21     OFF    ON
2025-12-05 12:42:54     27.84     69.36      ON   OFF
2025-12-05 12:42:55     28.31     69.96     OFF   OFF
2025-12-05 12:42:56     28.04     70.57     OFF    ON
2025-12-05 12:42:57     27.75     69.44      ON   OFF
2025-12-05 12:42:58     28.24     69.87     OFF   OFF
2025-12-05 12:42:59     28.04     70.43     OFF    ON
2025-12-05 12:43:00     27.67     69.50      ON   OFF
2025-12-05 12:43:01     27.95     70.15      ON    ON
2025-12-05 12:43:02     28.31     69.01     OFF   OFF
2025-12-05 12:43:03     28.05     69.60     OFF   OFF
2025-12-05 12:43:04     27.76     70.18      ON    ON
2025-12-05 12:43:05     28.22     69.15     OFF   OFF
2025-12-05 12:43:06     27.90     69.65      ON   OFF
2025-12-05 12:43:07     28.33     70.21     OFF    ON
2025-12-05 12:43:08     28.01     69.34     OFF   OFF
2025-12-05 12:43:09     27.67     69.94      ON   OFF
2025-12-05 12:43:10     28.14     70.51     OFF    ON
2025-12-05 12:43:11     27.78     69.67      ON   OFF
2025-12-05 12:43:12     28.10     70.23     OFF    ON
2025-12-05 12:43:13     27.69     69.30      ON   OFF
2025-12-05 12:43:14     28.24     69.91     OFF   OFF
2025-12-05 12:43:15     27.90     70.44      ON    ON
2025-12-05 12:43:16     28.33     69.48     OFF   OFF
2025-12-05 12:43:17     28.01     70.25     OFF    ON
2025-12-05 12:43:18     27.62     69.16      ON   OFF
2025-12-05 12:43:19     28.06     69.90     OFF   OFF
2025-12-05 12:43:20     27.84     70.69      ON    ON
2025-12-05 12:43:21     28.26     69.79     OFF   OFF
2025-12-05 12:43:22     27.84     70.25      ON    ON
2025-12-05 12:43:23     28.21     69.19     OFF   OFF
2025-12-05 12:43:24     27.85     69.70      ON   OFF
2025-12-05 12:43:25     28.09     70.26     OFF    ON
2025-12-05 12:43:26     27.87     69.20      ON   OFF
2025-12-05 12:43:27     28.30     69.63     OFF   OFF
2025-12-05 12:43:28     27.97     70.23      ON    ON
2025-12-05 12:43:29     28.26     69.21     OFF   OFF
2025-12-05 12:43:30     27.99     69.85      ON   OFF
2025-12-05 12:43:31     28.33     70.35     OFF    ON
2025-12-05 12:43:32     28.00     69.45      ON   OFF
2025-12-05 12:43:33     28.43     70.02     OFF    ON
2025-12-05 12:43:34     28.16     68.88     OFF   OFF
2025-12-05 12:43:35     27.73     69.37      ON   OFF
2025-12-05 12:43:37     28.21     69.92     OFF   OFF
2025-12-05 12:43:38     27.80     70.49      ON    ON
2025-12-05 12:43:39     28.17     69.52     OFF   OFF
2025-12-05 12:43:40     27.97     69.97      ON   OFF
2025-12-05 12:43:41     28.50     70.49     OFF    ON
2025-12-05 12:43:42     28.23     69.52     OFF   OFF
2025-12-05 12:43:43     27.98     70.20      ON    ON
2025-12-05 12:43:44     28.54     69.09     OFF   OFF
2025-12-05 12:43:45     28.24     69.69     OFF   OFF
2025-12-05 12:43:46     27.86     70.25      ON    ON
2025-12-05 12:43:47     28.44     69.34     OFF   OFF
2025-12-05 12:43:48     28.23     70.01     OFF    ON
2025-12-05 12:43:49     28.09     68.99     OFF   OFF
2025-12-05 12:43:50     27.78     69.68      ON   OFF
2025-12-05 12:43:51     28.13     70.16     OFF    ON
2025-12-05 12:43:52     27.80     69.08      ON   OFF
2025-12-05 12:43:53     28.30     69.61     OFF   OFF
2025-12-05 12:43:54     28.05     70.27     OFF    ON
2025-12-05 12:43:55     27.89     69.28      ON   OFF
2025-12-05 12:43:56     28.16     70.01     OFF    ON
2025-12-05 12:43:57     27.93     69.11      ON   OFF
2025-12-05 12:43:58     28.26     69.77     OFF   OFF
2025-12-05 12:43:59     27.87     70.39      ON    ON
2025-12-05 12:44:00     28.38     69.29     OFF   OFF
2025-12-05 12:44:01     28.05     69.99     OFF   OFF
2025-12-05 12:44:02     27.69     70.43      ON    ON
2025-12-05 12:44:03     28.16     69.26     OFF   OFF
2025-12-05 12:44:04     27.99     69.87      ON   OFF
2025-12-05 12:44:05     28.46     70.49     OFF    ON
2025-12-05 12:44:06     27.99     69.38      ON   OFF
2025-12-05 12:44:07     28.26     70.09     OFF    ON
2025-12-05 12:44:08     27.92     69.15      ON   OFF
2025-12-05 12:44:09     28.27     69.80     OFF   OFF
2025-12-05 12:44:10     28.04     70.43     OFF    ON
2025-12-05 12:44:11     27.78     69.32      ON   OFF
2025-12-05 12:44:12     28.24     69.91     OFF   OFF
2025-12-05 12:44:13     27.91     70.67      ON    ON
2025-12-05 12:44:14     28.31     69.55     OFF   OFF
2025-12-05 12:44:15     28.13     70.16     OFF    ON
2025-12-05 12:44:16     27.68     69.21      ON   OFF
2025-12-05 12:44:17     27.94     69.88      ON   OFF
2025-12-05 12:44:18     28.39     70.52     OFF    ON
2025-12-05 12:44:19     27.98     69.66      ON   OFF
2025-12-05 12:44:20     28.47     70.35     OFF    ON
2025-12-05 12:44:21     28.14     69.47     OFF   OFF
2025-12-05 12:44:22     28.02     70.09     OFF    ON
2025-12-05 12:44:23     27.73     69.06      ON   OFF
2025-12-05 12:44:24     28.10     69.77     OFF   OFF
2025-12-05 12:44:25     27.73     70.29      ON    ON
2025-12-05 12:44:26     28.09     69.39     OFF   OFF
2025-12-05 12:44:27     27.77     69.96      ON   OFF
2025-12-05 12:44:28     28.21     70.57     OFF    ON
2025-12-05 12:44:29     28.01     69.67     OFF   OFF
2025-12-05 12:44:30     27.82     70.22      ON    ON
2025-12-05 12:44:31     28.14     69.19     OFF   OFF
2025-12-05 12:44:32     27.87     69.74      ON   OFF
2025-12-05 12:44:33     28.11     70.32     OFF    ON
2025-12-05 12:44:34     27.85     69.42      ON   OFF
2025-12-05 12:44:35     28.30     69.98     OFF   OFF
2025-12-05 12:44:36     27.96     70.65      ON    ON
2025-12-05 12:44:37     28.33     69.64     OFF   OFF
2025-12-05 12:44:38     27.93     70.32      ON    ON
2025-12-05 12:44:39     28.34     69.37     OFF   OFF
2025-12-05 12:44:40     28.00     69.86     OFF   OFF
2025-12-05 12:44:41     27.56     70.51      ON    ON
2025-12-05 12:44:42     27.88     69.64      ON   OFF
2025-12-05 12:44:43     28.13     70.08     OFF    ON
2025-12-05 12:44:44     27.94     69.25      ON   OFF
2025-12-05 12:44:45     28.26     69.80     OFF   OFF
2025-12-05 12:44:46     27.94     70.46      ON    ON
2025-12-05 12:44:48     28.42     69.47     OFF   OFF
2025-12-05 12:44:49     28.53     69.22     OFF   OFF
2025-12-05 12:44:50     28.14     69.73     OFF   OFF
2025-12-05 12:44:51     27.65     70.31      ON    ON
2025-12-05 12:44:52     27.74     70.01      ON    ON
2025-12-05 12:44:53     28.19     68.87     OFF   OFF
2025-12-05 12:44:54     28.21     68.58     OFF   OFF
2025-12-05 12:44:55     28.05     69.28     OFF   OFF
2025-12-05 12:44:56     27.83     69.77      ON   OFF
2025-12-05 12:44:57     27.93     70.32      ON    ON
2025-12-05 12:44:58     28.40     70.07     OFF    ON
2025-12-05 12:44:59     28.35     69.22     OFF   OFF
2025-12-05 12:45:00     28.07     69.14     OFF   OFF
2025-12-05 12:45:01     27.90     69.84      ON   OFF
2025-12-05 12:45:02     27.97     70.55      ON    ON
2025-12-05 12:45:03     28.34     70.33     OFF    ON
2025-12-05 12:45:04     28.44     69.19     OFF   OFF
2025-12-05 12:45:05     28.12     68.96     OFF   OFF
2025-12-05 12:45:06     27.74     69.54      ON   OFF
2025-12-05 12:45:07     27.72     70.09      ON    ON
2025-12-05 12:45:08     28.14     69.98     OFF   OFF
2025-12-05 12:45:09     28.36     69.90     OFF   OFF
2025-12-05 12:45:10     28.00     70.60     OFF    ON
2025-12-05 12:45:11     27.75     70.29      ON    ON
2025-12-05 12:45:12     27.78     69.34      ON   OFF
2025-12-05 12:45:13     28.20     69.05     OFF   OFF
2025-12-05 12:45:14     28.30     69.69     OFF   OFF
2025-12-05 12:45:15     27.94     70.45      ON    ON
2025-12-05 12:45:16     27.98     70.44      ON    ON
2025-12-05 12:45:17     28.46     69.57     OFF   OFF
2025-12-05 12:45:18     28.49     69.24     OFF   OFF
2025-12-05 12:45:19     28.12     69.88     OFF   OFF
2025-12-05 12:45:20     27.90     70.47      ON    ON
2025-12-05 12:45:21     28.03     70.24     OFF    ON
2025-12-05 12:45:22     28.05     69.16     OFF   OFF
2025-12-05 12:45:23     27.63     68.80      ON   OFF
2025-12-05 12:45:24     27.90     69.34      ON   OFF
2025-12-05 12:45:25     28.36     69.92     OFF   OFF
2025-12-05 12:45:26     28.41     70.69     OFF    ON
2025-12-05 12:45:27     28.04     70.39     OFF    ON
2025-12-05 12:45:28     27.62     69.45      ON   OFF
2025-12-05 12:45:29     27.71     69.39      ON   OFF
2025-12-05 12:45:30     27.97     70.19      ON    ON
2025-12-05 12:45:31     28.39     70.09     OFF    ON
2025-12-05 12:45:32     28.43     69.14     OFF   OFF
2025-12-05 12:45:33     28.11     68.97     OFF   OFF
2025-12-05 12:45:34     27.79     69.66      ON   OFF
2025-12-05 12:45:35     27.83     70.09      ON    ON
2025-12-05 12:45:36     28.30     69.86     OFF   OFF
2025-12-05 12:45:37     28.38     69.71     OFF   OFF
2025-12-05 12:45:38     28.08     70.35     OFF    ON
2025-12-05 12:45:39     27.70     70.20      ON    ON
2025-12-05 12:45:40     27.82     69.36      ON   OFF
2025-12-05 12:45:41     28.40     69.17     OFF   OFF
2025-12-05 12:45:42     28.28     69.96     OFF   OFF
2025-12-05 12:45:43     27.98     70.53      ON    ON
2025-12-05 12:45:44     27.92     70.43      ON    ON
2025-12-05 12:45:45     28.25     69.47     OFF   OFF
2025-12-05 12:45:46     28.35     69.23     OFF   OFF
2025-12-05 12:45:47     28.02     69.68     OFF   OFF
2025-12-05 12:45:48     27.73     70.27      ON    ON
2025-12-05 12:45:49     27.76     70.15      ON    ON
2025-12-05 12:45:50     28.22     69.25     OFF   OFF
2025-12-05 12:45:51     28.28     69.09     OFF   OFF
2025-12-05 12:45:52     28.06     69.76     OFF   OFF
2025-12-05 12:45:53     27.66     70.40      ON    ON
2025-12-05 12:45:54     27.69     70.23      ON    ON
2025-12-05 12:45:55     28.17     69.30     OFF   OFF
2025-12-05 12:45:56     28.24     69.08     OFF   OFF
2025-12-05 12:45:57     27.94     69.73      ON   OFF
2025-12-05 12:45:58     28.10     70.31     OFF    ON
2025-12-05 12:45:59     28.13     70.15     OFF    ON
2025-12-05 12:46:00     27.92     69.14      ON   OFF
2025-12-05 12:46:01     27.97     68.93      ON   OFF
2025-12-05 12:46:02     28.38     69.63     OFF   OFF
2025-12-05 12:46:03     28.34     70.24     OFF    ON
2025-12-05 12:46:04     28.20     69.92     OFF   OFF
2025-12-05 12:46:05     28.00     69.77     OFF   OFF
2025-12-05 12:46:06     27.72     70.36      ON    ON
